Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,296755,
Product name,Atco Colistan W.S.P 500gm,Mfg.date:,February-13,Total Production,44639,,Product name,Neomycan 20% W.S.P  1 Kg,Mfg.date:,October-12,Total Production,29044,,Product name,Chlortetral  W.S.P 1 Kg,Mfg.date:,May-12,Total Production,12274,,Product name,Atoerythrin 20 % W.S.P 1 Kg,Mfg.date:,August-12,Total Production,24692,,Product name,Neo-Cox W.S.P  500gm,Mfg.date:,November-12,Total Production,32471,,Product name,Atco-tylan W.S.P 100gm,Mfg.date:,December-12,Total Production,9117,,Product name,Trisin W.S.P 500gm,Mfg.date:,February-13,Total Production,43740,,Product name,Lindaspectin W.S.P 150gm,Mfg.date:,February-13,Total Production,30063,,Product name,Salicox 120 Powder 25 Kg,Mfg.date:,January-13,Total Production,3460,,Product name,Trimisol Suspention  1 Liter,Mfg.date:,April-12,Total Production,3868,,Product name,Ato-Cox solution 1 Liter,Mfg.date:,September-12,Total Production,12191,,Product name,Ato-Cox solution 500 ml,Mfg.date:,November-12,Total Production,22227,,Product name,Ato-Clinda 20% W.S.P 1 Kg,Mfg.date:,August-12,Total Production,4246,,Product name,D-Tylo 50/25 W.S.P  250gm,Mfg.date:,February-13,Total Production,30361,,Product name,Atco-Prol W.S.P  500gm,Mfg.date:,February-13,Total Production,33418,,Product name,Atospectin W.S.P 150gm,Mfg.date:,March-13,Total Production,25217,,Product name,Ato-Nor 30 500 ml,Mfg.date:,April-13,Total Production,28402,,Product name,Atoprol Plus Powder 25 Kg,Mfg.date:,April-13,Total Production,454,,Product name,Chlorfeed 40% Powder 25 Kg,Mfg.date:,May-13,Total Production,303,,Product name,Atcodox 50% W.S.P  500gm,Mfg.date:,April-13,Total Production,7539,,Product name,Atco-Prol W.S.P  1 Kg,Mfg.date:,May-13,Total Production,10035,,Product name,Atozuril 0.5%  F.A.P 25kg,Mfg.date:,June-13,Total Production,1200,,Product name,Atco-Prol  W.S.P   25 gm,Mfg.date:,June-13,Total Production,80350,,Product name,Spectal Super W.S.P 100 gm,Mfg.date:,July-13,Total Production,12516,,Product name,Chlorfeed 40% Powder 1Kg,Mfg.date:,May-13,Total Production,730,,Product name,T.S 48% Liquid 1 Liter,Mfg.date:,August-13,Total Production,6151,,Product name,Ato Sulpha  W.S.P 20 gm,Mfg.date:,September-16,Total Production,101115,,Product name,Atozuril 0.5% F.A.P  1 Kg,Mfg.date:,September-13,Total Production,10132,,Product name,Atonor 30 1 Liter,Mfg.date:,October-13,Total Production,6116,,Product name,Neomycan 20% WSP 20 gm,Mfg.date:,October-13,Total Production,49855,,Product name,Levanide  Drench  1 Litre,Mfg.date:,November-13,Total Production,6302,,Product name,Spiramycin 150 W.S.P 100 gm,Mfg.date:,December-13,Total Production,11292,,Product name,Ato Linc 400 W.S.P 200gm,Mfg.date:,December-13,Total Production,17497,,Product name,,Mfg.date:,,Total Production,0,,Product name,,Mfg.date:,,Total Production,0,,Product name,,Mfg.date:,,Total Production,0,,Product name,,Mfg.date:,,Total Production,0,,Product name,,Mfg.date:,,Total Production,0,,Product name,,Mfg.date:,,Total Production,0,,Product name,,Mfg.date:,,Total Production,0,,Product name,,Mfg.date:,,Total Production,0,,Product name,,Mfg.date:,,Total Production,0,,Product name,,Mfg.date:,,Total Production,0,,Product name,,Mfg.date:,,Total Production,0,,Product name,,Mfg.date:,,Total Production,0,,Product name,,Mfg.date:,,Total Production,0,,Product name,,Mfg.date:,,Total Production,0,,Product name,,Mfg.date:,,Total Production,0,,Product name,,Mfg.date:,,Total Production,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code,Product name,Released,Quarantine,Reject,Total,Unit
Code No.,02-50-111-002,Expiry date,February-15,Released,15177,,Code No.,02-50-111-002,Expiry date,October-15,Released,12117,,Code No.,02-50-111-004,Expiry date,May-15,Released,753,,Code No.,02-50-111-006,Expiry date,August-15,Released,6437,,Code No.,02-50-111-008,Expiry date,November-15,Released,0,,Code No.,02-50-111-011,Expiry date,June-14,Released,0,,Code No.,02-50-111-013,Expiry date,February-16,Released,12242,,Code No.,02-50-111-025,Expiry date,February-16,Released,27049,,Code No.,02-50-113-001,Expiry date,October-14,Released,0,,Code No.,02-50-122-001,Expiry date,April-15,Released,2052,,Code No.,02-50-121-002,Expiry date,September-15,Released,6156,,Code No.,02-50-121-003,Expiry date,November-15,Released,0,,Code No.,02-50-111-029,Expiry date,August-15,Released,4253,,Code No.,02-50-111-028,Expiry date,February-16,Released,14180,,Code No.,02-50-111-020,Expiry date,February-15,Released,5039,,Code No.,02-50-111-015,Expiry date,March-16,Released,0,,Code No.,02-50-121-005,Expiry date,April-16,Released,0,,Code No.,02-50-113-004,Expiry date,April-16,Released,0,,Code No.,02-50-113-005,Expiry date,May-16,Released,103,,Code No.,02-50-111-016,Expiry date,April-15,Released,0,,Code No.,02-50-111-019,Expiry date,May-15,Released,0,,Code No.,02-50-113-006,Expiry date,January-15,Released,0,,Code No.,02-50-112-001,Expiry date,June-15,Released,0,,Code No.,02-50-111-021,Expiry date,July-16,Released,12512,,Code No.,02-50-111-024,Expiry date,May-16,Released,730,,Code No.,02-50-122-002,Expiry date,August-15,Released,0,,Code No.,02-50-112-003,Expiry date,September-13,Released,50794,,Code No.,02-50-111-009,Expiry date,March-15,Released,6148,,Code No.,02-50-121-001,Expiry date,October-16,Released,0,,Code No.,02-50-112-002,Expiry date,October-16,Released,49854,,Code No.,02-50-123-001,Expiry date,November-16,Released,6303,,Code No.,02-50-111-038,Expiry date,December-16,Released,6268,,Code No.,02-50-111-012,Expiry date,December-15,Released,7408,,Code No.,,Expiry date,,Released,0,,Code No.,,Expiry date,,Released,0,,Code No.,,Expiry date,,Released,0,,Code No.,,Expiry date,,Released,0,,Code No.,,Expiry date,,Released,0,,Code No.,,Expiry date,,Released,0,,Code No.,,Expiry date,,Released,0,,Code No.,,Expiry date,,Released,0,,Code No.,,Expiry date,,Released,0,,Code No.,,Expiry date,,Released,0,,Code No.,,Expiry date,,Released,0,,Code No.,,Expiry date,,Released,0,,Code No.,,Expiry date,,Released,0,,Code No.,,Expiry date,,Released,0,,Code No.,,Expiry date,,Released,0,,Code No.,,Expiry date,,Released,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02-50-111-002,Atco Colistan W.S.P 500gm,15177,0,,15177,can
Batch No.,130023,Quarantine,0,Quarantine,0,,Batch No.,120526,Quarantine,,Quarantine,0,,Batch No.,120161,Quarantine,,Quarantine,0,,Batch No.,120371,Quarantine,,Quarantine,0,,Batch No.,120579,Quarantine,,Quarantine,5102,,Batch No.,120604,Quarantine,,Quarantine,0,,Batch No.,130034,Quarantine,0,Quarantine,0,,Batch No.,130013,Quarantine,,Quarantine,0,,Batch No.,130008,Quarantine,,Quarantine,0,,Batch No.,120108,Quarantine,0,Quarantine,0,,Batch No.,120424,Quarantine,0,Quarantine,0,,Batch No.,120600,Quarantine,0,Quarantine,0,,Batch No.,120374,Quarantine,0,Quarantine,0,,Batch No.,130047,Quarantine,0,Quarantine,0,,Batch No.,130055,Quarantine,0,Quarantine,5111,,Batch No.,130081,Quarantine,0,Quarantine,0,,Batch No.,130128,Quarantine,0,Quarantine,0,,Batch No.,130141,Quarantine,0,Quarantine,0,,Batch No.,130160,Quarantine,0,Quarantine,0,,Batch No.,120153,Quarantine,0,Quarantine,0,,Batch No.,130171,Quarantine,0,Quarantine,0,,Batch No.,130219,Quarantine,0,Quarantine,0,,Batch No.,130227,Quarantine,0,Quarantine,40967,,Batch No.,130252     (95) 15/7/2013,Quarantine,0,Quarantine,0,,Batch No.,130170,Quarantine,0,Quarantine,0,,Batch No.,130296,Quarantine,0,Quarantine,0,,Batch No.,130340,Quarantine,0,Quarantine,0,,Batch No.,130342,Quarantine,0,Quarantine,0,,Batch No.,130356,Quarantine,0,Quarantine,0,,Batch No.,130338 (23/10/2013(  144) ,Quarantine,0,Quarantine,0,,Batch No.,130379,Quarantine,0,Quarantine,0,,Batch No.,130401,Quarantine,0,Quarantine,0,,Batch No.,130415,Quarantine,0,Quarantine,0,,Batch No.,,Quarantine,0,Quarantine,0,,Batch No.,,Quarantine,0,Quarantine,0,,Batch No.,,Quarantine,0,Quarantine,0,,Batch No.,,Quarantine,0,Quarantine,0,,Batch No.,,Quarantine,0,Quarantine,0,,Batch No.,,Quarantine,0,Quarantine,0,,Batch No.,,Quarantine,0,Quarantine,0,,Batch No.,,Quarantine,0,Quarantine,0,,Batch No.,,Quarantine,0,Quarantine,0,,Batch No.,,Quarantine,0,Quarantine,0,,Batch No.,,Quarantine,0,Quarantine,0,,Batch No.,,Quarantine,0,Quarantine,0,,Batch No.,,Quarantine,0,Quarantine,0,,Batch No.,,Quarantine,0,Quarantine,0,,Batch No.,,Quarantine,0,Quarantine,0,,Batch No.,,Quarantine,0,Quarantine,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02-50-111-002,Neomycan 20% W.S.P  1 Kg,12117,0,,12117,can
Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02-50-111-004,Chlortetral  W.S.P 1 Kg,753,0,2531,753,can
12-Feb-13,1002,,1006,,,,22-Oct-12,744,,744,,,,21-May-12,0,,0,,,,28-Aug-12,761,,761,,,,13-Nov-12,996,,996,,,,10-Dec-12,5089,,5093,,,,17-Feb-13,1004,,1008,,,,05-Feb-13,2998,,2998,,,,15-Jan-13,60,,61,,,,10-Apr-12,578,,578,,,,12-Sep-12,1994,,1994,,,,29-Nov-12,4044,,4044,,,,28-Aug-12,745,,745,,,,03-Mar-13,2005,,2009,,,,03-Mar-13,1017,,1017,,,,26-Mar-13,5000,,5000,14,Addition,,08-Apr-13,3998,,3998,Addition,20,,16-Apr-13,30,,30,27,Addtion,,20-May-13,30,,30,29,Addition,,30-Apr-13,1000,,1000,Addition,30/4/2013(26),,29-May-13,500,,500,35,Addition,,06-Jun-13,100,,100,37,Addition,,14-Jul-13,20000,,20051,43,Addition,,24-Jul-13,7550,,7554,47,Addition,,20-May-13,730,,730,30,Addition,,02-Sep-13,2027,,2031,57,Addition,,08-Oct-13,25300,,25300,64,Addition,,21-Nov-13,996,,996,77,Addition,,22-Oct-13,2016,,2016,65,Addition,,04-Nov-13,24850,,24850,71,Addition,,08-Dec-13,609,,610,81,Addition,,25-Dec-13,3792,,3792,87,Addition,,15-Jan-14,2488,,2488,90,Addition,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02-50-111-006,Atoerythrin 20 % W.S.P 1 Kg,6437,0,,6437,can
,,8,,5,Issue(3/3/2013),,,,744,,42,Delivery(27/2/2013),,14-Apr-13,,0,,11,Issue(1 cans),,,,761,,36,Delivery 21/2/20132,,,,996,,38,Delivery (38) 24/2/2013,,,4,,,3/13/2013,Return(6),,,,504,,35,2/20/2013,,,,8,,5,Issue(3/3/2013),,,0,1,,4,RD,,,,1,,16,Issue(28/4/2013),,,,1994,,38,Delivery (38) 24/2/2013,,,,4044,,38,Delivery (38) 24/2/2013,,,,0,,,,,,,8,,6,Issue(10/3/2013),,,,1017,,43,Delivery(3/3/2013),,,,8,,7,Issue(21/3/2013),,,,2856,,Deleivery,8/4/2013(48),,20-Aug-13,,22,,98,Delivery,,23-Jun-13,,30,,78,Delivery,,30-Apr-13,,1000,,56,Delivery,,30-May-13,,500,,64,Deleivery,,06-Jun-13,,80,,67,Delivery,,24-Jun-13,,50,,26,Issue(???? ????),,24-Jul-13,,8,,32,Issue for MOH,,,0,0,,,,,05-Sep-13,,8,,38,MOH,,11-Nov-13,,25300,,152,Delivery,,,,996,,157,Delivery,,22-Oct-13,,2016,,128,Delivery,,,,0,,,,,09-Dec-13,1,0,,27,Return,,25-Dec-13,,8,,53,Issue(M.O.H),,22-Jan-14,0,8,,58,Issue(MOH),,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02-50-111-008,Neo-Cox W.S.P  500gm,0,5102,,5102,can
30-May-13,4,,,8,Return,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,06-Jun-13,,100,,68,Delivery,,,,8,,6,Issue(10/3/2013),,27-Oct-13,,2990,,132,Delivery,,,1,0,,4,Return,,10-Dec-13,,577,,172,Delivery,,,,,,,,,,,,,,,,,0,,,,,,30-May-13,4,,,8,Return,,,,,,,,,22-Apr-13,,4992,,51,Delivery,,19-May-13,,1142,,58,Delivery,,25-Aug-13,,8,,100,Delivery,,,,,,,,,,,,,,,,,,,,,,,10-Jun-13,,20,,72,Delivery,,17-Jul-13,,50,,30,Issue(???? ????),,18-Sep-13,4,,,17,Return,,,,,,,,,08-Sep-13,,10,,40,Issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19-Jan-14,,1500,,188,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02-50-111-011,Atco-tylan W.S.P 100gm,0,0,,0,can
25-Jun-13,,998,,79,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-Aug-13,,4993,,97,Delivery,,22-Apr-13,,492,,54,Delivery,,,,,,,,,,,1,,37,Delivery(21/2/2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Jun-13,,2001,,77,Deleivry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Jul-13,,19900,,84,Delivery,,,,,,,,,,,,,,,,18-Nov-13,4,,,24,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02-50-111-013,Trisin W.S.P 500gm,12242,0,,12242,can
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/11/20132,4,,,25,Return,,,,,,,,,,,59,,39,Delivery (38) 24/2/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29-Jul-13,51,,,13,Return,,,,,,,,,,,,,,,,06-Jan-14,,2013,,185,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02-50-111-025,Lindaspectin W.S.P 150gm,27049,0,,27049,can
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-Dec-13,,4,,165,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31-Jul-13,,51,,89,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02-50-113-001,Salicox 120 Powder 25 Kg,0,0,,0,bag
