Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,Return,,,,,,,Total,0,
Product name,Net Look 40 mg  SGC,Mfg.date:,9/1/2013,Total Production,59578,,Product name,Net Look 20 mg  SGC,Mfg.date:,9/1/2013,Total Production,109374,,Product name,Net Look 10 mg  SGC,Mfg.date:,8/1/2013,Total Production,57116,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code,Product name,Released,Quarantine,Reject,Total,Unit
Code No.,09-50-331-003,Expiry date,9/1/2015,Released,0,,Code No.,09-50-331-002,Expiry date,9/1/2016,Released,0,,Code No.,09-50-331-001,Expiry date,8/1/2016,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09-50-331-003,Net Look 40 mg  SGC,0,0,,0,box
Batch No.,30661,Quarantine,,Quarantine,0,,Batch No.,30681,Quarantine,,Quarantine,0,,Batch No.,30587,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09-50-331-002,Net Look 20 mg  SGC,0,0,,0,box
Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09-50-331-001,Net Look 10 mg  SGC,0,0,,0,box
10/22/2013,5000,,5000,143,Receiving From Production,,10/31/2013,9800,,9800,150,Receiving From Production,,11/12/2013,4400,,4400,157,Receiving From Production,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,
10/23/2013,,5000,,131,Delivery,,11/3/2013,,2,,139,Delivery,,11/25/2013,,4400,,160,Delivery,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,
,,,,,,,11/3/2013,,9798,,140,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,
