Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,Return,,,,,,Total,27397,
Product name,Aminovita solution  1  Liter,Mfg.date:,February-13,Total Production,8212,,Product name,Nanovitafour solution  1 Liter,Mfg.date:,February-13,Total Production,5685,,Product name,SDS electrolytes solution 1 Liter,Mfg.date:,April-13,Total Production,8177,,Product name,Dual Protect solution 1Liter,Mfg.date:,May-13,Total Production,8200,,Product name,Magic Oil  Solution 1 Liter,Mfg.date:,August-13,Total Production,1132,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code,Product name,Released,Quarantine,Reject,Total,Unit
Code No.,01-50-221-002,Expiry date,February-15,Released,6818,,Code No.,01-50-221-001,Expiry date,February-15,Released,5640,,Code No.,01-50-221-004,Expiry date,April-15,Released,6765,,Code No.,01-50-221-003,Expiry date,May-15,Released,8174,,Code No.,01-50-221-006,Expiry date,August-15,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-50-221-002,Aminovita solution  1  Liter,6818,0,,6818,bottle
Batch No.,30004,Quarantine,0,Quarantine,0,,Batch No.,30001,Quarantine,0,Quarantine,0,,Batch No.,30008,Quarantine,,Quarantine,0,,Batch No.,30011,Quarantine,,Quarantine,0,,Batch No.,30035,Quarantine,0,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-50-221-001,Nanovitafour solution  1 Liter,5640,0,,5640,bottle
Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-50-221-004,SDS electrolytes solution 1 Liter,6765,0,,6765,bottle
24-Apr-13,1011,,1011,1,Addition,,24-Apr-13,1011,,1011,1,Addition,,24-Apr-13,1010,,1010,,,,02-May-13,1008,,1008,4,Addition,,18-Aug-03,1132,,1132,11,Addition,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-50-221-003,Dual Protect solution 1Liter,8174,0,,8174,bottle
,,2,,10,Issue(11/4/2013),,11-Apr-13,,2,,10,Issue(11/4/2013),,13-Jun-13,,1,,22,Issue,,08-Sep-13,,1,,3,Issue,,21-Aug-13,,1132,,,Delivery,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-50-221-006,Magic Oil  Solution 1 Liter,0,0,,0,bottle
13-Jun-13,,1,,22,Issue,,13-Jun-13,0,1,,22,Issue,,23-Jun-13,,2,,24,Issue(???? ??? ?????),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,
28-Jul-13,,12,,1,Delivery,,23-Jun-13,,2,,24,Issue(???? ??? ?????),,28-Oct-13,,131,,5,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,
28-Oct-13,,996,,5,Delivery,,05-Sep-13,,4,,25,Issue(???? ??? ?????),,28-Oct-13,,876,,6,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,
,,,,,,,08-Sep-13,,2,,2,Issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,
