Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Vitamin E acetate oily 93%,Exp.date,Retest date,Qurantine,Code,,Name,Vitamin D3 Oily 5mio IU/gm,Exp.date,Retest date,Qurantine,Code,,Name,Vitamin A Palmitate oily 1.7 mio IU/gm,Exp.date,Retest date,Qurantine,Code,,Name,Ascorbic Acid,Exp.date,Retest date,Qurantine,Code,,Name,Cremophore RH40,Exp.date,Retest date,Qurantine,Code,,Name,Magnesium Chloride,Exp.date,Retest date,Qurantine,Code,,Name,Vitamin B1,Exp.date,Retest date,Qurantine,Code,,Name,Vitamin B6,Exp.date,Retest date,Qurantine,Code,,Name,Manganese Sulphate mono hydrate,Exp.date,Retest date,Qurantine,Code,,Name,Copper sulphate 5 H2O,Exp.date,Retest date,Qurantine,Code,,Name,Magnesium Sulphate 7H2O,Exp.date,Retest date,Qurantine,Code,,Name,Vitamin A Oily Palmitate 1.6 mio Iu/gm,Exp.date,Retest date,Qurantine,Code,,Name,Vitamin B12,Exp.date,Retest date,Qurantine,Code,,Name,Nicotinic acid(Vitamin B3),Exp.date,Retest date,Qurantine,Code,,Name,Zinc sulphate 7 H2O,Exp.date,Retest date,Qurantine,Code,,Name,L-theronine,Exp.date,Retest date,Qurantine,Code,,Name,Copalt Sulphate 7H2O,Exp.date,Retest date,Qurantine,Code,,Name,Phosphoric Acid 85%,Exp.date,Retest date,Qurantine,Code,,Name,Sorbitol 70%,Exp.date,Retest date,Qurantine,Code,,Name,Mono Propylene glycol,Exp.date,Retest date,Qurantine,Code,,Name,Sodium Sulphate,Exp.date,Retest date,Qurantine,Code,,Name,Ammonium Chloride 99%,Exp.date,Retest date,Qurantine,Code,,Name,Potassium Chloride 99%,Exp.date,Retest date,Qurantine,Code,,Name,Ferrous Sulphate 7 H2O,Exp.date,Retest date,Qurantine,Code,,Name,Sodium Chloride,Exp.date,Retest date,Qurantine,Code,,Name,Calcium Chloride ,Exp.date,Retest date,Qurantine,Code,,Name,Potassium Citrate,Exp.date,Retest date,Qurantine,Code,,Name,L-Lysine mono hydrochloride 99%,Exp.date,Retest date,Qurantine,Code,,Name,DL methionine 99%,Exp.date,Retest date,Qurantine,Code,,Name,L-carnitine 90%,Exp.date,Retest date,Qurantine,Code,,Name,Betaine HCl  98%,Exp.date,Retest date,Qurantine,Code,,Name,Sodium Selenite,Exp.date,Retest date,Qurantine,Code,,Name,Vitamin D3 4mio IU/gm,Exp.date,Retest date,Qurantine,Code,,Name,Thymus herp ext.(1:1),Exp.date,Retest date,Qurantine,Code,,Name,Vitamin K3,Exp.date,Retest date,Qurantine,Code,,Name,Poly Sorbate 80,Exp.date,Retest date,Qurantine,Code,,Name,Xanthan gum,Exp.date,Retest date,Qurantine,Code,,Name,Propyl galate,Exp.date,Retest date,Qurantine,Code,,Name,Butylated hydroxy anisol,Exp.date,Retest date,Qurantine,Code,,Name,Yucca extract 1:1,Exp.date,Retest date,Qurantine,Code,,Name,Cinnamon Ext. 1:1,Exp.date,Retest date,Qurantine,Code,,Name,Garlic Ext. Solution 1:1,Exp.date,Retest date,Qurantine,Code,,Name,Cremophore EL 35,Exp.date,Retest date,Qurantine,Code,,Name,Dextrose mono hydrate,Exp.date,Retest date,Qurantine,Code,,Name,Bredol 683,Exp.date,Retest date,Qurantine,Code,,Name,Soya bean oil,Exp.date,Retest date,Qurantine,Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code,Name,Released,Quarantine,Reject,Unit
Batch No.,99165209TO,5/22/2014,,100,01-10-220-005,,Batch No.,121837,5/1/2014,0,10,01-10-220-004,,Batch No.,PY20120409C,4/18/2014,,0,01-10-220-001,,Batch No.,201111463,11/30/2014,,575,01-10-210-002,,Batch No.,00428436WO,10/31/2013,,0,01-20-220-001,,Batch No.,936121112,10/31/2015,,0,01-10-210-026,,Batch No.,21208003T,3/31/2015,,0,01-10-210-020,,Batch No.,21205701,2/28/2015,,0,01-10-210-022,,Batch No.,90,9/30/2015,,0,01-10-210-014,,Batch No.,CU120120702,7/31/2015,,0,01-10-210-007,,Batch No.,86630712,7/31/2015,,0,01-10-210-013,,Batch No.,70419175L,6/28/2014,,125,01-10-220-002,,Batch No.,C120207E,2/15/2017,,0,01-10-210-021,,Batch No.,22625,6/15/2015,,0,01-10-210-015,,Batch No.,975101212,12/31/2015,,0,01-10-210-023,,Batch No.,20110306,3/6/2016,,0,01-10-210-012,,Batch No.,723/11,5/31/2014,,0,01-10-210-006,,Batch No.,45GJN1210137,31/10/2014,,0,01-20-220-003,,Batch No.,BN-03981211,16/12/2016,,0,01-20-220-004,,Batch No.,FO24553,31/1/2014,,0,01-20-220-002,,Batch No.,11KL1128,5/31/2014,,0,01-10-210-019,,Batch No.,0233555,28/2/2015,,0,01-10-210-001,,Batch No.,4258288,30/6/2017,,0,01-10-210-016,,Batch No.,FESL3A001,9/30/2016,,0,01-10-210-025,,Batch No.,028934,2/28/2015,,0,01-10-210-018,,Batch No.,32/13/34/1,1/31/2016,,0,01-10-210-005,,Batch No.,12022302,23/2/2014,,0,01-10-210-017,,Batch No.,101012,10/10/2015,,0,01-10-210-011,,Batch No.,121107A6,7/11/2017,,0,01-10-210-008,,Batch No.,43612,6/30/2014,,0,01-10-210-010,,Batch No.,0108051110,10/7/2013,,0,01-10-210-004,,Batch No.,121839,6/14/2014,,0,01-10-210-024,,Batch No.,120701,7/7/2013,,0,01-10-220-003,,Batch No.,1110113,1/27/2014,,150.25,01-10-220-006,,Batch No.,12110107,10/31/2014,,0,01-10-210-027,,Batch No.,A3412861,1/24/2016,,800,01-20-220-005,,Batch No.,72913412,4/30/2015,,0,01-20-110-012,,Batch No.,N-550101,5/31/2015,,0,01-20-210-001,,Batch No.,10006092011,10/31/2014,,0,01-20-210-002,,Batch No.,20130819,8/18/2015,,0,01-10-220-007,,Batch No.,20130824,8/23/2015,,0,01-10-220-008,,Batch No.,20130827,8/26/2015,,0,01-10-220-009,,Batch No.,97029324UO,6/19/2014,,480,01-20-220-006,,Batch No.,XW1301085C,1/28/2015,,0,01-20-110-023,,Batch No.,3001186102,6/12/2015,,0,01-10-220-010,,Batch No.,,1/31/2015,,0,01-10-220-011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-10-220-005,Vitamin E acetate oily 93%,52.562,100,,Kg
Supplier/date,Return from waki,,,Released,Unit,,Supplier/date,Return from waki,,,Released,Unit,,Supplier/date,Return from waki,,,Released,Unit,,Supplier/date,Egi Trade,,,Released,Unit,,Supplier/date,Pharmaceutical(10/12/2012),,,Released,Unit,,Supplier/date,Morgan(12/2/2013),Reject,0,Released,Unit,,Supplier/date,Ramsese(16/12/2012),Reject,0,Released,Unit,,Supplier/date,Ramsese(16/12/2012),,,Released,Unit,,Supplier/date,Ramsese(16/12/2012),,,Released,Unit,,Supplier/date,Ramsese(16/12/2012),Reject,0,Released,Unit,,Supplier/date,Morgan(16/12/2012),,,Released,Unit,,Supplier/date,Ramsese(16/12/2012),,,Released,Unit,,Supplier/date,New AWA,,,Released,Unit,,Supplier/date,Ramsese(16/12/2012),,,Released,Unit,,Supplier/date,Morgan(16/12/2012),,,Released,Unit,,Supplier/date,Morgan(16/12/2012),,,Released,Unit,,Supplier/date,Morgan(16/12/2012),,,Released,Unit,,Supplier/date,Hi Chemicals,,,Released,Unit,,Supplier/date,Hi Chemicals,,,Released,Unit,,Supplier/date,Hi Chemicals,,,Released,Unit,,Supplier/date,Hi Chemicals,,,Released,Unit,,Supplier/date,Hi Chemicals,,,Released,Unit,,Supplier/date,Hi Chemicals,,,Released,Unit,,Supplier/date,Pharma kim((17/1/2013),Location,E514,Released,Unit,,Supplier/date,Hi Chemicals(16/12/2012),,,Released,Unit,,Supplier/date,El-Nasr(17/2/2013),Reject,0,Released,Unit,,Supplier/date,Hi Chemicals(16/12/2012),,,Released,Unit,,Supplier/date,Abo El naga,,,Released,Unit,,Supplier/date,Abo Elnaga(18/12/2012),,,Released,Unit,,Supplier/date,Pharmex(23/12/2012),Location,E319,Released,Unit,,Supplier/date,Nagi Awad,Rejct,16.34,Released,Unit,,Supplier/date,(Waki)16/1/2013,Location,E513,Released,Unit,,Supplier/date,17/1/2013,,,Released,Unit,,Supplier/date,Mepaco,,,Released,Unit,,Supplier/date,Egypt pharma(2/5/2013),Location,E221,Released,Unit,,Supplier/date,Logisip misre(19/6/2013),Location,E122,Released,Unit,,Supplier/date,Morgan,,,Released,Unit,,Supplier/date,Luna (2/7/2013),Location,E514,Released,Unit,,Supplier/date,Luna (2/7/2013),Location,E514,Released,Unit,,Supplier/date,AMG,Location,D112,Released,Unit,,Supplier/date,AMG,Location,D109&D110,Released,Unit,,Supplier/date,AMG,Location,E107&E108&E109,Released,Unit,,Supplier/date,Pharmakchem,Location,E514,Released,Unit,,Supplier/date,,,,Released,Unit,,Supplier/date,Multi Vita,Location,D115,Released,Unit,,Supplier/date,,,,Released,Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Return,,01-10-220-004,Vitamin D3 Oily 5mio IU/gm,0,10,,Kg
Control No.,1212003,Qurantine,0,52.562,Kg,,Control No.,1212004,Qurantine,0,0,Kg,,Control No.,1212002,Qurantine,0,0,Kg,,Control No.,1212005,Qurantine,0,857.17,Kg,,Control No.,A1212001,Qurantine,0,627.4,Kg,,Control No.,A0213002,Qurantine,0,1,Kg,,Control No.,100 Kg(Return26/12/2012),Qurantine,0,4.46,Kg,,Control No.,A1212006,Qurantine,0,1.07,Kg,,Control No.,A1212007,Qurantine,0,49,Kg,,Control No.,100 Kg(Return26/12/2012),Qurantine,0,0,Kg,,Control No.,A1212009,Qurantine,0,623.9,Kg,,Control No.,A1212010,Qurantine,0,72,Kg,,Control No.,A1212011,Qurantine,0,18,gm,,Control No.,A1212012,Qurantine,0,30.42,Kg,,Control No.,A1212013,Qurantine,0,33.52,Kg,,Control No.,A1212014,Qurantine,0,18.02,Kg,,Control No.,A1212015,Qurantine,0,1.5,Kg,,Control No.,A1212024,Qurantine,0,1664.8,Kg,,Control No.,A1212023,Qurantine,0,402.3,Kg,,Control No.,A1212025,Qurantine,0,495,Kg,,Control No.,A1212016,Qurantine,0,196.9,Kg,,Control No.,A1212017,Qurantine,0,24,Kg,,Control No.,A1212018,Qurantine,0,323.3,Kg,,Control No.,A0113007,Qurantine,0,24.4,Kg,,Control No.,A1212020,Qurantine,0,90,Kg,,Control No.,A0213003,Qurantine,0,24.8,Kg,,Control No.,A1212022,Qurantine,0,0,Kg,,Control No.,A1212027,Qurantine,0,21.1,Kg,,Control No.,A1212028,Qurantine,0,62.62,Kg,,Control No.,A1212030,Qurantine,0,105.1,Kg,,Control No.,A0113002,Qurantine,,0,Kg,,Control No.,A0113005,Qurantine,0,3.8,Kg,,Control No.,A0113008,Qurantine,0,0,Kg,,Control No.,A0213001,Qurantine,0,0,Kg,,Control No.,A0513004,Qurantine,0,0,Kg,,Control No.,A0613004,Qurantine,0,828.94,Kg,,Control No.,Delivery to Moh Taman,Qurantine,0,0,Kg,,Control No.,A0713001,Qurantine,0,7,Kg,,Control No.,A0713002,Qurantine,0,7,Kg,,Control No.,A0813001,Qurantine,0,249.9,Kg,,Control No.,A0913001,Qurantine,0,18.4,Kg,,Control No.,A0913002,Qurantine,0,536.2,Kg,,Control No.,A1013001,Qurantine,0,58.85,Kg,,Control No.,A0214002,Qurantine,,97.11,Kg,,Control No.,A0214001,Qurantine,0,449.9,Kg,,Control No.,A0214003,Qurantine,,6689.6,Litre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-10-220-001,Vitamin A Palmitate oily 1.7 mio IU/gm,0,0,,Kg
IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-10-210-002,Ascorbic Acid,857.17,575,,Kg
74.5,,74.5,,,,,3,,3,,,,,70.2,,70.2,,,,,325,,325,,,,,360,,360,,,,,175,,175,,,,,0,,0,,,,,6,,6,,,,,52,,52,,,,,0,,0,,,,,625,,625,,,,,125,,125,,,,,100,,100,,,,,62,,62,,,,,150,,150,,,,,50,,50,,,,,2,,2,,,,,945,,945,,,,,600,,600,,,,,645,,645,,,,,197.5,,197.5,,,,,325,,325,,,,,925,,925,,,,,25,,25,,,,,375,,375,,,,,525,,525,,,,,75,,75,,,,,50,,50,,,,,125,,125,,,,,150,,150,,,,,100,,100,,,,,1.5,,1.5,,,,,15,,15,,,,,167.95,,167.95,,,,,300,,300,,,,,889.04,,889.04,,,,,0,,0,,,,,25,,25,,,,,10,,10,,,,,250,,499.9,42,Receiving,8/24/2013,,400,,400,43,Receiving,9/2/2013,,1000,,1494.5,44,Receiving,9/4/2013,,60,,60,45,receiving,10/23/2013,,4995,,4995,5,Transfer From ABO el-naga,Transfer(5/2/2014),,600,,600,1,Receving(Agriculture),2/1/2014,,2185,,2185,3,Receiving,2/3/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-20-220-001,Cremophore RH40,627.4,0,,Kg
,0.5,,,R&D,12/3/2012,,,0.1,,,R&D,12/3/2012,,,0.5,,,R&D,12/3/2012,,,1,,,R&D,12/3/2012,,,1,,,R&D,12/11/2012,,,0.1,,8,QC,,,,0,,4,Qc,Sampling,,,0.1,,5,QC,Sampling,,,0.1,,5,QC,23/12/2012,,,,,,,,,,0.1,,3,QC,Sampling,,,0.1,,3,QC,Sampling,,,1,,4,Qc,Sampling,,,0.1,,6,QC,Sampling,,,0.1,,3,QC,Sampling,,,0.1,,5,QC,Sampling,,,0.05,,8,QC(Sampling),27/12/2012,,,0.1,,,QC,Sampling,,,0.1,,4,QC,Sampling,,,0.1,,5,QC,Sampling,,,0.1,,5,QC,23/12/2012,,,0.1,,5,QC,23/12/2012,,,1,,,R&D,17/12/2012,,,0.5,,5,R&D,,,,1,,,R&D,17/12/2012,,,0.1,,9,QC,3/21/2013,,,0.1,,7,QC,Sampling,,,0.1,,7,QC,Sampling,,,0.1,,7,QC,Sampling,,,0.1,,7,QC,Sampling,,,0.1,,1,Sampling,QC,,,0.1,,3,Sampling,QC,,,0.1,,4,sampling,QC,,,0.1,,7,QC,sampling,,,0.1,,20,Addition ,5/14/2013,,,0.1,,27,Addition,6/19/2013,,,,,,,,,,0.1,,30,Addition,7/7/2013,,,0.1,,30,Addition,7/7/2013,,,0.1,,31,Addition,9/2/2013,,,0.1,,32,Addition,9/12/2013,,,0.1,,32,Addition,9/12/2013,,,0.1,,33,Addition,11/10/2013,,,276.39,,2/8/2014,Vitamin K3 10% W.S.P 500 gm,40005,,,0.1,,2,Addition,2/4/2014,,,0.1,,2,Addition,2/4/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-10-210-026,Magnesium Chloride,1,0,0,Kg
,0.1,,3,QC,Sampling,,,0.1,,,QC,23/12/2012,,,0.1,,3,QC,Sampling,,,0.1,,1,Sampling,,,,0.1,,,QC,12/16/2012,,,50,,4/23/2013,SDS sol.1 Liter,30008,,,,,,,,,,0.01,,4,Rd,,,,0.5,,1,R&D,,,,,,,,,,,1,,2,R&D,Trial,,,19.76,,,Nanovitafour 1 L,30003,,,1,,4,RD,,,,0.5,,4,RD,,,,0.5,,4,RD,,,,0.5,,4,R&D,,,,0.1,,1,R&D,,,,200,,,Amino Vita 1 L,30004,,,100,,4/23/2013,SDS sol.1 Liter,30008,,,150,,,Nanovitafour 1 L,30001,,,0.5,,1,R&D,,,,1,,4,RD,,,,0.1,,5,QC,Sampling,,,0.1,,6,QC,Sampling,,,0.1,,4,QC,19/12/2012,,,100,,4/23/2013,SDS sol.1 Liter,30008,,,25,,4/23/2013,SDS sol.1 Liter,30008,,,0.5,,4,RD,,,,0.5,,4,RD,,,,0.5,,4,RD,,,,0.2,,8,Production,3/27/2013,,,,,,,,,,1.5,,,Nanovitafour 1 L,30001,,,53.35,,4/29/2013,Dual Protect,30011,,,9.9,,54,Transfer to Abo elnaga,Issue(23/12/2013),,,50,,22,Tiba suport,Issue(26/6/2013),,,,,,,,,,2,,25,Agriculture,Issue(7/7/2013),,,0.4,,25,Agriculture,Issue(7/7/2013),,,100,,3/1/2014,Coccitom oral solution 1 litre,40006,,,21,,53,,Issue(10/12/2013),,,7.7,,1,????? ?????,Issue(12/1/2014),,,1.05,,3,Magic Oil sol. 1 litre,Issue(5/2/2014),,,4400,,7,Transfer To Abo El-naga,Transfer(16/2/2014),,,70,,2/4/2014,Magic Oil solution 1 litre,40004,,,1920,,2/4/2014,Magic Oil solution 1 litre,40004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-10-210-020,Vitamin B1,4.46,0,0,Kg
,23.92,,,Nanovitafour 1 L,30003,,,2.8,,,Nanovitafour 1 L,30001,,,29.4,,,Nanovitafour 1 L,30001,,,94.2,,4/29/2013,Dual Protect,30011,,,250,,,Nanovitafour 1 L,30001,,,50,,4/28/2013,SDS sol. 1Liter,30009,,,,,,,,,,1.85,,,Amino Vita 1 L,30004,,,2.4,,1,????? ?????,Issue(12/1/2014),,,,,,,,,,,,,,,,,31.25,,4/29/2013,Dual Protect,30011,,,5,,,Amino Vita 1 L,30004,,,10.11,,,Amino Vita 1 L,30004,,,14.38,,,Amino Vita 1 L,30004,,,10.16,,,Amino Vita 1 L,30004,,,0.35,,1,????? ?????,Issue(12/1/2014),,,200,,,Amino Vita 1 L,30005,,,100,,4/28/2013,SDS sol. 1Liter,30009,,,150,,,Nanovitafour 1 L,30002,,,,,,,,,,100,,,Amino Vita 1 L,30004,,,100,,,Amino Vita 1 L,30004,,,,,,,,,,50,,,Amino Vita 1 L,30004,,,100,,4/28/2013,SDS sol. 1Liter,30009,,,25,,4/28/2013,SDS sol. 1Liter,30009,,,12.9,,,Amino Vita 1 L,30004,,,20.21,,,Amino Vita 1 L,30004,,,14.9,,,Amino Vita 1 L,30004,,,10.42,,4/29/2013,Dual Protect,30011,,,,,,,,,,5,,,Nanovitafour 1 L,30002,,,53.35,,4/29/2013,Dual Protect,30012,,,88.06,,2/8/2014,Vitamin K3 10% W.S.P 500 gm,40005,,,10,,7/1/2013,Tibasupport,,,,,,,,,,,2,,31,Magic Oil,Issue(15/7/2013),,,0.4,,31,Magic Oil,Issue(15/7/2013),,,100,,3/1/2014,Coccitom oral solution 1 litre,40008,,,0.5,,7,Go-With(Trial),Issue(15/2/2014),,,0.5,,7,Go-With(Trial),Issue(15/2/2014),,,,,,,,,,221.5,,2,To abo el-naga,Delivery(22/2/2014),,,80,,2/8/2014,Magic Oil solution 1 litre,40007,,,264.9,,2/8/2014,Magic Oil solution 1 litre,40007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-10-210-022,Vitamin B6,1.07,0,,Kg
,2.605,,5/29/2013,Tibasupport,,,,,,,,,,,29.4,,,Nanovitafour 1 L,30002,,,101,,4/29/2013,Dual Protect,30012,,,108.9,,,Nanovitafour 1 L,30002,,,50,,4/28/2013,SDS sol. 1Liter,30010,,,,,,,,,,1.85,,,Amino Vita 1 L,30005,,,,,,,,,,,,,,,,,,,,,,,,31.25,,4/29/2013,Dual Protect,30012,,,5,,,Amino Vita 1 L,30005,,,10.11,,,Amino Vita 1 L,30005,,,14.38,,,Amino Vita 1 L,30005,,,10.16,,,Amino Vita 1 L,30005,,,,,,,,,,200,,,Amino Vita 1 L,30006,,,100,,4/28/2013,SDS sol. 1Liter,30010,,,150,,,Nanovitafour 1 L,30003,,,,,,,,,,100,,,Amino Vita 1 L,30005,,,100,,,Amino Vita 1 L,30005,,,,,,,,,,50,,,Amino Vita 1 L,30005,,,100,,4/28/2013,SDS sol. 1Liter,30010,,,24.9,,4/28/2013,SDS sol. 1Liter,30010,,,12.9,,,Amino Vita 1 L,30005,,,20.21,,,Amino Vita 1 L,30005,,,14.9,,,Amino Vita 1 L,30005,,,10.42,,4/29/2013,Dual Protect,30012,,,,,,,,,,5,,,Nanovitafour 1 L,30003,,,53.35,,4/29/2013,Dual Protect,30013,,,0.05,,5,Vitamin K3 10%,Issue(10/2/2014),,,,,,,,,,,,,,,,,1.32,,32,Magic Oil,Issue(16/7/2013),,,0.26,,32,Magic Oil,Issue(16/7/2013),,,49.9,,3/1/2014,Coccitom oral solution 1 litre,40009,,,120,,3/1/2014,Go-With oral solution,40001,,,150,,3/1/2014,Go-With oral solution 1 litre,40001,,,,,,,,,,,,,97.110 Kg  Vitamin K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-10-210-014,Manganese Sulphate mono hydrate,49,0,,Kg
