Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,Return,Return,Return,Return,Return,Return,,,,,,,,,,,,,,,,,,,,,,,,,,,Return,,,,,,,Total,30297,
Product name,Tilmicoral oral solution 240 ml,Mfg.date:,April-13,Total Production,23802,,Product name,Atco-Cure WSP 500 gm,Mfg.date:,October-13,Total Production,7064,,Product name,Apracolin WSP 500 gm,Mfg.date:,November-13,Total Production,3036,,Product name,Gentoral  W.S.P  100gm,Mfg.date:,November-13,Total Production,15015,,Product name,Atobenzole 1 Litre,Mfg.date:,December-13,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,Product name,0,Mfg.date:,,Total Production,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code,Product name,Released,Quarantine,Reject,Total,unit
Code No.,01-50-121-004,Expiry date,April-16,Released,6738,,Code No.,01-50-111-035,Expiry date,October-15,Released,2981,,Code No.,01-50-111-036,Expiry date,November-15,Released,1488,,Code No.,01-50-111-037,Expiry date,November-15,Released,14991,,Code No.,01-50-122-003,Expiry date,December-15,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,Code No.,0,Expiry date,,Released,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-50-121-004,Tilmicoral oral solution 240 ml,6738,0,,6738,bottle
Batch No.,130138,Quarantine,0,Quarantine,0,,Batch No.,130363 (28/10/2013-147),Quarantine,0,Quarantine,0,,Batch No.,130373,Quarantine,0,Quarantine,0,,Batch No.,130376  (26/11/2013- 165),Quarantine,0,Quarantine,0,,Batch No.,130402,Quarantine,2020,Quarantine,4099,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,Batch No.,0,Quarantine,,Quarantine,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-50-111-035,Atco-Cure WSP 500 gm,2981,0,,2981,cans
Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,Date,IN,OUT,Balance,Recipt note,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-50-111-036,Apracolin WSP 500 gm,1488,0,,1488,cans
22-Apr-13,3360,,3360,25,Addition,,11-Nov-13,1008,,1008,74,Addition,,08-Dec-13,998,,998,80,Addition,,08-Dec-13,4984,,4984,80,Addition,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-50-111-037,Gentoral  W.S.P  100gm,14991,0,,14991,cans
22-Apr-13,,1400,,52,Delivery,,14-Nov-13,,10,,48,Issue(R&D),,12-Dec-13,,8,,51,Issue(M.O.H),,12-Dec-13,,8,,51,Issue(M.O.H),,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-50-122-003,Atobenzole 1 Litre,0,4099,,4099,bottle
9/6/201,,8,,18,Issue(30/4/2013),,08-Dec-13,,8,,48,Delivery,,06-Jan-14,,504,,183,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,
,,500,,70,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,
28-Jul-13,,100,,87,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,
16-Sep-13,,500,,112,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,
