Name,Label Neomycan 20% 1Kg,Exp.date,Retest date,Qurantine,Code,,Name,Label Atcodox 50%  500gm,Exp.date,Retest date,Qurantine,Code,,Name,Label D-tylo 50/25  250gm,Exp.date,Retest date,Qurantine,Code,,Name,Label Chlortetral  500gm,Exp.date,Retest date,Qurantine,Code,,Name,Label Atoprol plus  500 gm,Exp.date,Retest date,Qurantine,Code,,Name,Label Atcodox 50%  250gm,Exp.date,Retest date,Qurantine,Code,,Name,Label Chlorfeed 40%  1Kg ,Exp.date,Retest date,Qurantine,Code,,Name,Label Oxylan 50/20  1Kg,Exp.date,Retest date,Qurantine,Code,,Name,Label ATOsulpha  500 gm,Exp.date,Retest date,Qurantine,Code,,Name,Label Atozuril 0.5% 1Kg,Exp.date,Retest date,Qurantine,Code,,Name,Label Atozuril 0.5%  200 gm,Exp.date,Retest date,Qurantine,Code,,Name,Label Atodoxcine 10%   500gm,Exp.date,Retest date,Qurantine,Code,,Name,Label Atcoprol  1Kg,Exp.date,Retest date,Qurantine,Code,,Name,Label NeoCox  500 gm,Exp.date,Retest date,Qurantine,Code,,Name,Label Atoerythrin 20% 1Kg,Exp.date,Retest date,Qurantine,Code,,Name,Label Atoerthrin 20%  500 gm,Exp.date,Retest date,Qurantine,Code,,Name,Label Lindaspectin 150 gm,Exp.date,Retest date,Qurantine,Code,,Name,Label Spiramycin 150 100 gm,Exp.date,Retest date,Qurantine,Code,,Name,Label Atospectin  150 gm,Exp.date,Retest date,Qurantine,Code,,Name,Label Spectal super  100 gm,Exp.date,Retest date,Qurantine,Code,,Name,Label Chlortetral  1 kg,Exp.date,Retest date,Qurantine,Code,,Name,Label Atcoprol  500 gm,Exp.date,Retest date,Qurantine,Code,,Name,Label Colistan  500 gm,Exp.date,Retest date,Qurantine,Code,,Name,Label Atoclinda 20%  1Kg,Exp.date,Retest date,Qurantine,Code,,Name,Label Trisin  500 gm,Exp.date,Retest date,Qurantine,Code,,Name,Label Atcotylan 100 gm,Exp.date,Retest date,Qurantine,Code,,Name,Label Atoclinda 20%  100 gm,Exp.date,Retest date,Qurantine,Code,,Name,Label S.quinoxaline 20% 500gm,Exp.date,Retest date,Qurantine,Code,,Name,Label Ato Linc 400 200 gm,Exp.date,Retest date,Qurantine,Code,,Name,Label Atociprin 1 Kg,Exp.date,Retest date,Qurantine,Code,,Name,Label Atociprin  500gm,Exp.date,Retest date,Qurantine,Code,,Name,Label Trisin 100 gm,Exp.date,Retest date,Qurantine,Code,,Name,Label Atcocolistan 500 gm,Exp.date,Retest date,Qurantine,Code,,Name,,Exp.date,Retest date,Qurantine,Code,,Name,,Exp.date,Retest date,Qurantine,Code,,Name,,Exp.date,Retest date,Qurantine,Code,,Name,,Exp.date,Retest date,Qurantine,Code,,Name,,Exp.date,Retest date,Qurantine,Code,,Name,,Exp.date,Retest date,Qurantine,Code,,Name,,Exp.date,Retest date,Qurantine,Code,,Name,,Exp.date,Retest date,Qurantine,Code,,Name,,Exp.date,Retest date,Qurantine,Code,,Name,,Exp.date,Retest date,Qurantine,Code,,Name,,Exp.date,Retest date,Qurantine,Code,,Name,,Exp.date,Retest date,Qurantine,Code,,Name,,Exp.date,Retest date,Qurantine,Code,,,,,,,,,,,,,,Return
Batch No.,,,,0,02-40-313-020,,Batch No.,,,None,0,02-40-313-001,,Batch No.,,,,0,02-40-313-017,,Batch No.,,,,0,02-40-313-031,,Batch No.,,,,0,02-40-313-013,,Batch No.,,,,0,02-40-313-027,,Batch No.,,,,0,02-40-313-014,,Batch No.,,,,0,02-40-313-021,,Batch No.,,,,0,02-40-313-005,,Batch No.,,,,0,02-40-313-006,,Batch No.,,,,0,02-40-313-007,,Batch No.,,,,0,02-40-313-002,,Batch No.,,,,0,02-40-313-028,,Batch No.,,,,0,02-40-313-019,,Batch No.,,,,0,02-40-313-011,,Batch No.,,,,0,02-40-313-010,,Batch No.,,,,0,02-40-313-018,,Batch No.,,,,0,02-40-313-034,,Batch No.,,,,0,02-40-313-004,,Batch No.,,,,0,02-40-313-024,,Batch No.,,,,0,02-40-313-016,,Batch No.,,,,0,02-40-313-029,,Batch No.,,,,0,02-40-313-032,,Batch No.,,,,0,02-40-313-009,,Batch No.,,,,0,02-40-313-026,,Batch No.,,,,0,02-40-313-030,,Batch No.,,,,0,02-40-313-036,,Batch No.,,,,0,02-40-313-023,,Batch No.,,,,0,02-40-313-012,,Batch No.,,,,0,4000089,,Batch No.,,,,0,4000090,,Batch No.,,,,0,02-40-313-025,,Batch No.,,,,0,02-40-313-035,,Batch No.,,,,0,,,Batch No.,,,,0,,,Batch No.,,,,0,,,Batch No.,,,,0,,,Batch No.,,,,0,,,Batch No.,,,,0,,,Batch No.,,,,0,,,Batch No.,,,,0,,,Batch No.,,,,0,,,Batch No.,,,,0,,,Batch No.,,,,0,,,Batch No.,,,,0,,,Batch No.,,,,0,,,,,,,,,Code,Name,Released,Quarantine,Reject,Unit,
Supplier/date,,,OLD,Released,Unit,,Supplier/date,,,Old,Released,Unit,,Supplier/date,,,New,Released,Unit,,Supplier/date,,,OLD,Released,Unit,,Supplier/date,,,NEW,Released,Unit,,Supplier/date,,,Old,Released,Unit,,Supplier/date,,,Old,Released,Unit,,Supplier/date,,,OLD,Released,Unit,,Supplier/date,,,New,Released,Unit,,Supplier/date,,,OLD,Released,Unit,,Supplier/date,,,OLD,Released,Unit,,Supplier/date,,,NEW,Released,Unit,,Supplier/date,,,Old,Released,Unit,,Supplier/date,,,NEW,Released,Unit,,Supplier/date,,,OLD,Released,Unit,,Supplier/date,,,OLD,Released,Unit,,Supplier/date,,,OLD,Released,Unit,,Supplier/date,,,Old,Released,Unit,,Supplier/date,,,OLD,Released,Unit,,Supplier/date,,,OLD,Released,Unit,,Supplier/date,,,NEW,Released,Unit,,Supplier/date,,,Old,Released,Unit,,Supplier/date,,,New,Released,Unit,,Supplier/date,,,New,Released,Unit,,Supplier/date,,,Old,Released,Unit,,Supplier/date,,,NEW,Released,Unit,,Supplier/date,,,Old,Released,Unit,,Supplier/date,,,NEW,Released,Unit,,Supplier/date,,,Old,Released,Unit,,Supplier/date,,,Old,Released,Unit,,Supplier/date,,,Old,Released,Unit,,Supplier/date,,,Old,Released,Unit,,Supplier/date,,,,Released,Unit,,Supplier/date,,,,Released,Unit,,Supplier/date,,,,Released,Unit,,Supplier/date,,,,Released,Unit,,Supplier/date,,,,Released,Unit,,Supplier/date,,,,Released,Unit,,Supplier/date,,,,Released,Unit,,Supplier/date,,,,Released,Unit,,Supplier/date,,,,Released,Unit,,Supplier/date,,,,Released,Unit,,Supplier/date,,,,Released,Unit,,Supplier/date,,,,Released,Unit,,Supplier/date,,,,Released,Unit,,Supplier/date,,,,Released,Unit,,,,,,,,02-40-313-020,Label Neomycan 20% 1Kg,0,0,,Label,
Control No.,,Qurantine,,0,Label,,Control No.,,Qurantine,0,3408,Kg,,Control No.,0212068,Qurantine,,1755,,,Control No.,0212066,Qurantine,,1575,,,Control No.,0612030,Qurantine,,2231,,,Control No.,0212064,Qurantine,,2016,Label,,Control No.,0212067,Qurantine,,1378,,,Control No.,0212063,Qurantine,,1452,,,Control No.,0612029,Qurantine,,2795,,,Control No.,0612017,Qurantine,,0,,,Control No.,0612018,Qurantine,,3404,,,Control No.,0612028,Qurantine,,1553,,,Control No.,0112035,Qurantine,,1425,,,Control No.,0612031,Qurantine,,4569,,,Control No.,,Qurantine,,2757,,,Control No.,,Qurantine,,4325,,,Control No.,0212047,Qurantine,,4837,,,Control No.,0112040,Qurantine,,6239,,,Control No.,0112041,Qurantine,,3790,,,Control No.,0112042,Qurantine,,3025,,,Control No.,0112043,Qurantine,,1475,,,Control No.,0112044,Qurantine,,2045,,,Control No.,,Qurantine,,2526,,,Control No.,0112046,Qurantine,,2063,,,Control No.,0713040,Qurantine,,0,Label,,Control No.,,Qurantine,,4995,,,Control No.,0212065,Qurantine,,5770,,,Control No.,0112050,Qurantine,,3109,,,Control No.,0212055,Qurantine,,4399,,,Control No.,,Qurantine,,0,,,Control No.,,Qurantine,,0,,,Control No.,,Qurantine,,1690,,,Control No.,1212038,Qurantine,0,130,Label,,Control No.,,Qurantine,,0,,,Control No.,,Qurantine,,0,,,Control No.,,Qurantine,,0,,,Control No.,,Qurantine,,0,,,Control No.,,Qurantine,,0,,,Control No.,,Qurantine,,0,,,Control No.,,Qurantine,,0,,,Control No.,,Qurantine,,0,,,Control No.,,Qurantine,,0,,,Control No.,,Qurantine,,0,,,Control No.,,Qurantine,,0,,,Control No.,,Qurantine,,0,,,Control No.,,Qurantine,,0,,,,,,,,,02-40-313-001,Label Atcodox 50%  500gm,3408,0,,Label,
IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,IN,OUT,Balance,Recipt. No.,Product name,Batch No.,,,,,,,,02-40-313-017,Label D-tylo 50/25  250gm,1755,0,,Label,
32,,32,,,,,2283,,2283,,,11/8/2012,,3050,,3050,,,11/8/2012,,1575,,1575,,,,,2231,,2231,,,,,2016,,2016,,,11/8/2012,,1443,,1443,,,11/8/2012,,1452,,1452,,,11/8/2012,,2795,,2795,,,11/8/2012,,1942,,1942,,,11/8/2012,,3404,,3404,,,11/8/2012,,1553,,1553,,,,,1060,,1060,,,11/8/2012,,6200,,6200,,,,,143,,143,,,11/8/2012,,1500,,1500,,,,,2967,,2967,,,11/8/2012,,3900,,3900,,,11/8/2012,,1517,,1517,,,11/8/2012,,275,,275,,,,,1475,,1475,,,,,2475,,2475,,,11/8/2012,,2526,,2526,,,11/8/2012,,2063,,2063,,,11/8/2012,,3000,,3000,,,11/8/2012,,1218,,1218,,,11/8/2012,,3700,,3700,,,,,3109,,3109,,,,,3065,,3065,,,,,400,,3400,,,11/8/2012,,1300,,1300,,,11/8/2012,,1690,,1690,,,11/8/2012,,4000,,4000,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,,,,,,,02-40-313-031,Label Chlortetral  500gm,1575,0,,Label,
,32,,,29/12/2012,,,,850,,,12/11/2012,Warehouse,,,700,,,29/12/2012,,,,,,,,,,,0,,1/18/2014,Atco prol W.S.P 500gm,140001 to 140008,,,,,,,,,,65,,158,Chlorofeed 40%,130170,,,,,,,,,,,,,,,,,1694,,,Carton,12/2/2012,,,,,,,,,,,,,,,,,430,,5/13/2013,Atco-Prol 1Kg,(130171 to130180),,,1631,,,12/11/2012,Warehouse,,,143,,,12/11/2012,Warehouse,,,,,,,,,,80,,323,Lindaspectin 150gm,Issue(26/11/2013),,,200,,346,Spiramycin 150,Issue(18/12/2013),,,617,,,29/12/2012,,,,,,,,,,,,,,,,,,900,,,,(130055-64),,,,,,,,,,,,,,,,,1100,,,,,,,1218,,,2/12/2013,,,,,,,,,,,,,,,,,,729,,12/30/2013,Ato linc 400 W.S.P 200gm,130415 to 130421,,,400,,,Production,12/3/2012,,,1300,,,Production,4/30/2013,,,,,,,,,,2000,,,29/12/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02-40-313-013,Label Atoprol plus  500 gm,2231,0,,Label,
,,,,,,,,,,,,,,,595,,8/18/2013,D-Tylo50/25 250 gm,130286 To 130292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,,217,Atozuril 0.5 %  1kg,130342 to 130343,,,,,,,,,,,,,,,,,430,,"15,16/5/2013",ATCO PROL 1Kg,(130181 To 130190),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,,,,(130068-77),,,,,,,,,,,,,,,,,5,,147,Addition,7/30/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,600,,,31/12/2012,Production,,,,,,,,,,,,,,,,,1190,,6/26/2013,Atco Colistan 500 gm,130229 To 130242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02-40-313-027,Label Atcodox 50%  250gm,2016,0,,Label,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,"2,3/6/2013",ATCO PROL 500gm,130215-130216,,,,,,,,,,,,,,,,,425,,7/31/2013,Trisin W.S.P 500gm,130268 To 130272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,Production,4/30/2013,,,,,,,,,,,,,,,,,680,,7/8/2013,Atco Colistan 500 gm,130243 To 130250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02-40-313-014,Label Chlorfeed 40%  1Kg ,1378,0,,Label,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,"2,3/6/2013",ATCO PROL 500gm,130217-130218,,,,,,,,,,,,,,,,,425,,8/1/2013,Trisin W.S.P 500gm,130273 To 130277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02-40-313-021,Label Oxylan 50/20  1Kg,1452,0,,Label,
